date,stn,Glo_H_rad_mean
1961-02-22,ATL,64
1961-02-22,CHI,67.66666666666667
1961-02-22,FW,211.95833333333334
1961-02-22,LA,156.75
1961-02-22,NEW,128.66666666666666
1961-02-22,SEA,111.83333333333333
1961-02-23,ATL,199.66666666666666
1961-02-23,CHI,73.95833333333333
1961-02-23,FW,225.79166666666666
1961-02-23,LA,214.66666666666666
1961-02-23,NEW,59.333333333333336
1961-02-23,SEA,57.125
1961-02-24,ATL,68.45833333333333
1961-02-24,CHI,80.875
1961-02-24,FW,97.04166666666667
1961-02-24,LA,218.20833333333334
1961-02-24,NEW,157.70833333333334
1961-02-24,SEA,34.25
1961-02-25,ATL,103.75
1961-02-25,CHI,88.04166666666667
1961-02-25,FW,237.75
1961-02-25,LA,160.125
1961-02-25,NEW,48.875
1961-02-25,SEA,59.25
1961-02-26,ATL,218.41666666666666
1961-02-26,CHI,84.41666666666667
1961-02-26,FW,243.58333333333334
1961-02-26,LA,219.95833333333334
1961-02-26,NEW,84.04166666666667
1961-02-26,SEA,53.583333333333336
1961-02-27,ATL,218.25
1961-02-27,CHI,71.95833333333333
1961-02-27,FW,88.83333333333333
1961-02-27,LA,205.83333333333334
1961-02-27,NEW,177
1961-02-27,SEA,59.416666666666664
1961-02-28,ATL,184.58333333333334
1961-02-28,CHI,174.04166666666666
1961-02-28,FW,238.375
1961-02-28,LA,206.20833333333334
1961-02-28,NEW,84.25
1961-02-28,SEA,75.08333333333333
1961-03-01,ATL,93.25
1961-03-01,CHI,120.75
1961-03-01,FW,246.41666666666666
1961-03-01,LA,226.29166666666666
1961-03-01,NEW,81.79166666666667
1961-03-01,SEA,121.45833333333333
1961-03-02,ATL,234.91666666666666
1961-03-02,CHI,142.79166666666666
1961-03-02,FW,237.5
1961-03-02,LA,171.66666666666666
1961-03-02,NEW,174.04166666666666
1961-03-02,SEA,70.875
1961-03-03,ATL,222.08333333333334
1961-03-03,CHI,124.83333333333333
1961-03-03,FW,122.29166666666667
1961-03-03,LA,193
1961-03-03,NEW,188.16666666666666
1961-03-03,SEA,94.625
1961-03-04,ATL,139.08333333333334
1961-03-04,CHI,63.083333333333336
1961-03-04,FW,174.79166666666666
1961-03-04,LA,87.25
1961-03-04,NEW,82.29166666666667
1961-03-04,SEA,156.08333333333334
1961-03-05,ATL,120.83333333333333
1961-03-05,CHI,89.91666666666667
1961-03-05,FW,156.125
1961-03-05,LA,180.58333333333334
1961-03-05,NEW,143.95833333333334
1961-03-05,SEA,49.25
1961-03-06,ATL,87.875
1961-03-06,CHI,88.91666666666667
1961-03-06,FW,229.04166666666666
1961-03-06,LA,211.83333333333334
1961-03-06,NEW,60.958333333333336
1961-03-06,SEA,71.33333333333333
1961-03-07,ATL,126
1961-03-07,CHI,100.29166666666667
1961-03-07,FW,178.625
1961-03-07,LA,218.25
1961-03-07,NEW,158.95833333333334
1961-03-07,SEA,97.16666666666667
1961-03-08,ATL,226.95833333333334
1961-03-08,CHI,75.41666666666667
1961-03-08,FW,266.1666666666667
1961-03-08,LA,204.375
1961-03-08,NEW,66.41666666666667
1961-03-08,SEA,50.416666666666664
1961-03-09,ATL,128.91666666666666
1961-03-09,CHI,182.45833333333334
1961-03-09,FW,263.4166666666667
1961-03-09,LA,223.125
1961-03-09,NEW,106.54166666666667
1961-03-09,SEA,102.75
1961-03-10,ATL,255.79166666666666
1961-03-10,CHI,176.58333333333334
1961-03-10,FW,203.66666666666666
1961-03-10,LA,231.5
1961-03-10,NEW,177.625
1961-03-10,SEA,84.20833333333333
1961-03-11,ATL,153.70833333333334
1961-03-11,CHI,97
1961-03-11,FW,111.79166666666667
1961-03-11,LA,212.08333333333334
1961-03-11,NEW,159.95833333333334
1961-03-11,SEA,75.70833333333333
1961-03-12,ATL,118.375
1961-03-12,CHI,89.91666666666667
1961-03-12,FW,242.58333333333334
1961-03-12,LA,222.54166666666666
1961-03-12,NEW,201.75
1961-03-12,SEA,51.25
1961-03-13,ATL,97.5
1961-03-13,CHI,89.29166666666667
1961-03-13,FW,265.9166666666667
1961-03-13,LA,215.33333333333334
1961-03-13,NEW,88.29166666666667
1961-03-13,SEA,53.416666666666664
1961-03-14,ATL,244.25
1961-03-14,CHI,127.16666666666667
1961-03-14,FW,258.5
1961-03-14,LA,221.33333333333334
1961-03-14,NEW,69.70833333333333
1961-03-14,SEA,58.041666666666664
1961-03-15,ATL,238.95833333333334
1961-03-15,CHI,107.16666666666667
1961-03-15,FW,253.58333333333334
1961-03-15,LA,216.125
1961-03-15,NEW,164.5
1961-03-15,SEA,102.66666666666667
1961-03-16,ATL,250.91666666666666
1961-03-16,CHI,221.83333333333334
1961-03-16,FW,108.70833333333333
1961-03-16,LA,223.625
1961-03-16,NEW,155.875
1961-03-16,SEA,129.75
1961-03-17,ATL,208.16666666666666
1961-03-17,CHI,182.70833333333334
1961-03-17,FW,128.41666666666666
1961-03-17,LA,142.20833333333334
1961-03-17,NEW,236.75
1961-03-17,SEA,110.5
1961-03-18,ATL,92.16666666666667
1961-03-18,CHI,80.83333333333333
1961-03-18,FW,182.25
1961-03-18,LA,246.375
1961-03-18,NEW,220
1961-03-18,SEA,166.66666666666666
1961-03-19,ATL,154.875
1961-03-19,CHI,137.91666666666666
1961-03-19,FW,145.20833333333334
1961-03-19,LA,221.45833333333334
1961-03-19,NEW,76.45833333333333
1961-03-19,SEA,56.125
1961-03-20,ATL,104.5
1961-03-20,CHI,191.125
1961-03-20,FW,138.5
1961-03-20,LA,224.45833333333334
1961-03-20,NEW,232.41666666666666
1961-03-20,SEA,175.58333333333334
1961-03-21,ATL,96.95833333333333
1961-03-21,CHI,88.16666666666667
1961-03-21,FW,277.625
1961-03-21,LA,237.66666666666666
1961-03-21,NEW,199.45833333333334
1961-03-21,SEA,196.125
1961-03-22,ATL,200.875
1961-03-22,CHI,107.375
1961-03-22,FW,269.875
1961-03-22,LA,223.04166666666666
1961-03-22,NEW,115.79166666666667
1961-03-22,SEA,65.125
1961-03-23,ATL,242.33333333333334
1961-03-23,CHI,90
1961-03-23,FW,283.8333333333333
1961-03-23,LA,155.125
1961-03-23,NEW,68.5
1961-03-23,SEA,105.66666666666667
1961-03-24,ATL,156.625
1961-03-24,CHI,126.20833333333333
1961-03-24,FW,276.7916666666667
1961-03-24,LA,214.33333333333334
1961-03-24,NEW,129.5
1961-03-24,SEA,135.41666666666666
1961-03-25,ATL,273.5416666666667
1961-03-25,CHI,212.08333333333334
1961-03-25,FW,138.875
1961-03-25,LA,231.70833333333334
1961-03-25,NEW,181.29166666666666
1961-03-25,SEA,112.20833333333333
1961-03-26,ATL,264.875
1961-03-26,CHI,207.58333333333334
1961-03-26,FW,118.66666666666667
1961-03-26,LA,252.79166666666666
1961-03-26,NEW,243.375
1961-03-26,SEA,121.75
1961-03-27,ATL,135.91666666666666
1961-03-27,CHI,114.33333333333333
1961-03-27,FW,247.75
1961-03-27,LA,243.29166666666666
1961-03-27,NEW,236.45833333333334
1961-03-27,SEA,122.125
1961-03-28,ATL,112.08333333333333
1961-03-28,CHI,110.41666666666667
1961-03-28,FW,216.58333333333334
1961-03-28,LA,212.58333333333334
1961-03-28,NEW,180.25
1961-03-28,SEA,207.625
1961-03-29,ATL,157.58333333333334
1961-03-29,CHI,191.75
1961-03-29,FW,124
1961-03-29,LA,286.2083333333333
1961-03-29,NEW,224.83333333333334
1961-03-29,SEA,202.875
1961-03-30,ATL,104.79166666666667
1961-03-30,CHI,256.875
1961-03-30,FW,92.66666666666667
1961-03-30,LA,195.91666666666666
1961-03-30,NEW,184.08333333333334
1961-03-30,SEA,112.83333333333333
1961-03-31,ATL,115.95833333333333
1961-03-31,CHI,115.125
1961-03-31,FW,129.79166666666666
1961-03-31,LA,190.08333333333334
1961-03-31,NEW,155.875
1961-03-31,SEA,90.45833333333333
1961-04-01,ATL,244.33333333333334
1961-04-01,CHI,114.375
1961-04-01,FW,300.75
1961-04-01,LA,264.4583333333333
1961-04-01,NEW,79.54166666666667
1961-04-01,SEA,79.5
1961-04-02,ATL,256.875
1961-04-02,CHI,265.2083333333333
1961-04-02,FW,301.8333333333333
1961-04-02,LA,281.8333333333333
1961-04-02,NEW,187.66666666666666
1961-04-02,SEA,82.54166666666667
1961-04-03,ATL,84.20833333333333
1961-04-03,CHI,226.5
1961-04-03,FW,303.7083333333333
1961-04-03,LA,290.4583333333333
1961-04-03,NEW,151.54166666666666
1961-04-03,SEA,138.33333333333334
1961-04-04,ATL,281.7083333333333
1961-04-04,CHI,230.5
1961-04-04,FW,306.0416666666667
1961-04-04,LA,287.375
1961-04-04,NEW,176.95833333333334
1961-04-04,SEA,255.91666666666666
1961-04-05,ATL,270.5
1961-04-05,CHI,98.125
1961-04-05,FW,161.625
1961-04-05,LA,130.70833333333334
1961-04-05,NEW,199.25
1961-04-05,SEA,203.75
1961-04-06,ATL,116.91666666666667
1961-04-06,CHI,91.70833333333333
1961-04-06,FW,287.0416666666667
1961-04-06,LA,166.79166666666666
1961-04-06,NEW,153.625
1961-04-06,SEA,225.95833333333334
1961-04-07,ATL,302.75
1961-04-07,CHI,139.95833333333334
1961-04-07,FW,211.83333333333334
1961-04-07,LA,203.125
1961-04-07,NEW,193.91666666666666
1961-04-07,SEA,232.25
1961-04-08,ATL,208.16666666666666
1961-04-08,CHI,125.875
1961-04-08,FW,81.95833333333333
1961-04-08,LA,295.125
1961-04-08,NEW,231.625
1961-04-08,SEA,86.58333333333333
1961-04-09,ATL,125.70833333333333
1961-04-09,CHI,127.95833333333333
1961-04-09,FW,314.2916666666667
1961-04-09,LA,263.3333333333333
1961-04-09,NEW,222
1961-04-09,SEA,146.25
1961-04-10,ATL,197.04166666666666
1961-04-10,CHI,148.625
1961-04-10,FW,249
1961-04-10,LA,261.4166666666667
1961-04-10,NEW,74.08333333333333
1961-04-10,SEA,147.79166666666666
1961-04-11,ATL,244
1961-04-11,CHI,130.16666666666666
1961-04-11,FW,178
1961-04-11,LA,296.7916666666667
1961-04-11,NEW,135.41666666666666
1961-04-11,SEA,103.625
1961-04-12,ATL,209.33333333333334
1961-04-12,CHI,103.75
1961-04-12,FW,331.0833333333333
1961-04-12,LA,163.04166666666666
1961-04-12,NEW,158.625
1961-04-12,SEA,78.04166666666667
1961-04-13,ATL,220.20833333333334
1961-04-13,CHI,253.25
1961-04-13,FW,321.5833333333333
1961-04-13,LA,290
1961-04-13,NEW,81.33333333333333
1961-04-13,SEA,191.5
1961-04-14,ATL,310.4583333333333
1961-04-14,CHI,110.5
1961-04-14,FW,323.0833333333333
1961-04-14,LA,301.5416666666667
1961-04-14,NEW,219.16666666666666
1961-04-14,SEA,125.66666666666667
1961-04-15,ATL,127
1961-04-15,CHI,134.66666666666666
1961-04-15,FW,312.5833333333333
1961-04-15,LA,293.625
1961-04-15,NEW,228.54166666666666
1961-04-15,SEA,114.45833333333333
1961-04-16,ATL,317.625
1961-04-16,CHI,147.29166666666666
1961-04-16,FW,328.2916666666667
1961-04-16,LA,311.6666666666667
1961-04-16,NEW,92.75
1961-04-16,SEA,148.54166666666666
1961-04-17,ATL,318.9166666666667
1961-04-17,CHI,157.125
1961-04-17,FW,316.3333333333333
1961-04-17,LA,243.875
1961-04-17,NEW,248.83333333333334
1961-04-17,SEA,141.79166666666666
1961-04-18,ATL,285.1666666666667
1961-04-18,CHI,229
1961-04-18,FW,320.0833333333333
1961-04-18,LA,164.625
1961-04-18,NEW,88.33333333333333
1961-04-18,SEA,134.04166666666666
1961-04-19,ATL,310.6666666666667
1961-04-19,CHI,245.16666666666666
1961-04-19,FW,320.2083333333333
1961-04-19,LA,256.75
1961-04-19,NEW,89.04166666666667
1961-04-19,SEA,163.5
1961-04-20,ATL,308.7916666666667
1961-04-20,CHI,186.625
1961-04-20,FW,168.625
1961-04-20,LA,257.0416666666667
1961-04-20,NEW,297.7083333333333
1961-04-20,SEA,143.33333333333334
1961-04-21,ATL,290.5
1961-04-21,CHI,289.875
1961-04-21,FW,121.75
1961-04-21,LA,263.7083333333333
1961-04-21,NEW,269.2083333333333
1961-04-21,SEA,100.75
1961-04-22,ATL,262.4583333333333
1961-04-22,CHI,230.20833333333334
1961-04-22,FW,260.8333333333333
1961-04-22,LA,221.5
1961-04-22,NEW,170.75
1961-04-22,SEA,100.41666666666667
1961-04-23,ATL,228.04166666666666
1961-04-23,CHI,163.83333333333334
1961-04-23,FW,167.625
1961-04-23,LA,297.25
1961-04-23,NEW,291.375
1961-04-23,SEA,99.33333333333333
1961-04-24,ATL,224.75
1961-04-24,CHI,157.875
1961-04-24,FW,228.125
1961-04-24,LA,326.7083333333333
1961-04-24,NEW,163.04166666666666
1961-04-24,SEA,120.45833333333333
1961-04-25,ATL,175.70833333333334
1961-04-25,CHI,114.41666666666667
1961-04-25,FW,300.7083333333333
1961-04-25,LA,320.2083333333333
1961-04-25,NEW,184.16666666666666
1961-04-25,SEA,131.58333333333334
1961-04-26,ATL,169.58333333333334
1961-04-26,CHI,286.1666666666667
1961-04-26,FW,287.25
1961-04-26,LA,315.625
1961-04-26,NEW,257.9166666666667
1961-04-26,SEA,181.5
1961-04-27,ATL,149.29166666666666
1961-04-27,CHI,127.375
1961-04-27,FW,305.875
1961-04-27,LA,320.2083333333333
1961-04-27,NEW,269.25
1961-04-27,SEA,289.125
1961-04-28,ATL,290.8333333333333
1961-04-28,CHI,170.54166666666666
1961-04-28,FW,172.33333333333334
1961-04-28,LA,304.7083333333333
1961-04-28,NEW,175.33333333333334
1961-04-28,SEA,128
1961-04-29,ATL,341.5
1961-04-29,CHI,255.58333333333334
1961-04-29,FW,304.7083333333333
1961-04-29,LA,294.2916666666667
1961-04-29,NEW,153.45833333333334
1961-04-29,SEA,70
1961-04-30,ATL,296.125
1961-04-30,CHI,217.375
1961-04-30,FW,170.16666666666666
1961-04-30,LA,318.2916666666667
1961-04-30,NEW,276.8333333333333
1961-04-30,SEA,160.91666666666666
1961-05-01,ATL,149
1961-05-01,CHI,280.625
1961-05-01,FW,159.29166666666666
1961-05-01,LA,309.4583333333333
1961-05-01,NEW,103.95833333333333
1961-05-01,SEA,96.45833333333333
1961-05-02,ATL,322.125
1961-05-02,CHI,322.7916666666667
1961-05-02,FW,284.9583333333333
1961-05-02,LA,279.5416666666667
1961-05-02,NEW,188.95833333333334
1961-05-02,SEA,206.45833333333334
1961-05-03,ATL,338.1666666666667
1961-05-03,CHI,308.0833333333333
1961-05-03,FW,128.125
1961-05-03,LA,247.70833333333334
1961-05-03,NEW,288.375
1961-05-03,SEA,205.29166666666666
1961-05-04,ATL,307.4166666666667
1961-05-04,CHI,310.75
1961-05-04,FW,134.58333333333334
1961-05-04,LA,289.5416666666667
1961-05-04,NEW,230.70833333333334
1961-05-04,SEA,76.79166666666667
1961-05-05,ATL,149.875
1961-05-05,CHI,144.83333333333334
1961-05-05,FW,174.875
1961-05-05,LA,298.2083333333333
1961-05-05,NEW,291.125
1961-05-05,SEA,135.16666666666666
1961-05-06,ATL,185.625
1961-05-06,CHI,166.20833333333334
1961-05-06,FW,168.75
1961-05-06,LA,243.5
1961-05-06,NEW,215.33333333333334
1961-05-06,SEA,239.08333333333334
1961-05-07,ATL,281
1961-05-07,CHI,147.75
1961-05-07,FW,198.45833333333334
1961-05-07,LA,320.375
1961-05-07,NEW,152.45833333333334
1961-05-07,SEA,252.91666666666666
1961-05-08,ATL,281.0833333333333
1961-05-08,CHI,108.58333333333333
1961-05-08,FW,318.7083333333333
1961-05-08,LA,328.4583333333333
1961-05-08,NEW,141.125
1961-05-08,SEA,104.375
1961-05-09,ATL,152.16666666666666
1961-05-09,CHI,173.58333333333334
1961-05-09,FW,353.9166666666667
1961-05-09,LA,283.2916666666667
1961-05-09,NEW,232.5
1961-05-09,SEA,103.95833333333333
1961-05-10,ATL,124.20833333333333
1961-05-10,CHI,304.5
1961-05-10,FW,342.0833333333333
1961-05-10,LA,307.4166666666667
1961-05-10,NEW,137.625
1961-05-10,SEA,189.33333333333334
1961-05-11,ATL,116.79166666666667
1961-05-11,CHI,298.2916666666667
1961-05-11,FW,350.2083333333333
1961-05-11,LA,325.0416666666667
1961-05-11,NEW,149.29166666666666
1961-05-11,SEA,292.7916666666667
1961-05-12,ATL,137
1961-05-12,CHI,271.75
1961-05-12,FW,324.7916666666667
1961-05-12,LA,327.2916666666667
1961-05-12,NEW,123.83333333333333
1961-05-12,SEA,238.25
1961-05-13,ATL,294.625
1961-05-13,CHI,277.1666666666667
1961-05-13,FW,278.8333333333333
1961-05-13,LA,328.5416666666667
1961-05-13,NEW,155.08333333333334
1961-05-13,SEA,109
1961-05-14,ATL,280.125
1961-05-14,CHI,170.16666666666666
1961-05-14,FW,334.2916666666667
1961-05-14,LA,317.375
1961-05-14,NEW,296.9166666666667
1961-05-14,SEA,210.625
1961-05-15,ATL,262.5
1961-05-15,CHI,165.33333333333334
1961-05-15,FW,345.1666666666667
1961-05-15,LA,305.2916666666667
1961-05-15,NEW,265.8333333333333
1961-05-15,SEA,316.625
1961-05-16,ATL,324.9166666666667
